Route,Name,Grade,Type,Length,AreaID
knob-job,Knob Job,5.8,TR,30 ft,105790295
hangmans-climb,Hangman's Climb,5.10a,"Sport, TR",40 ft,105790295
mariah,Mariah,5.10a,"Trad, TR",60 ft,105790295
suzies-wild-ride,Suzie's Wild Ride,5.9,Sport,80 ft,105790295
escapade,Escapade,5.11a,"Sport, TR",80 ft,105790295
chicken-heart,Chicken Heart,5.10a,Trad,30 ft,105790295
the-ramp,The Ramp,5.7,"Trad, TR",60 ft,105790307
the-trauma,The Trauma,5.6,"Trad, TR",70 ft,105790307
the-tower,The Tower,5.7,"Sport, TR",50 ft,200412107
turkey-chute,Turkey Chute,5.7,"Trad, TR",45 ft,200412107
shadowfax,Shadowfax,5.8,"Trad, TR",40 ft,201172980
exit-stage-left,Exit Stage Left,5.10a,"Trad, TR",30 ft,105790295
lilleys-delight,Lilley's Delight,5.7,Trad,40 ft,105790295
easy-rider,Easy Rider,5.7,"Sport, TR",25 ft,201172980
black-rider,Black Rider,5.11b,"Sport, TR",30 ft,201172980
morannon,Morannon,5.9,"Trad, TR",25 ft,201172980
shelobs-lair,Shelob's Lair,5.10b,Trad,30 ft,201172980
gandalf,Gandalf,5.7,"Trad, TR",25 ft,201172980
caradhras,Caradhras,5.10a,Trad,55 ft,201172212
dimrill-stair,Dimrill Stair,5.8,Trad,25 ft,201172223
sam-i-am,Sam I Am,5.8,Trad,30 ft,201172223
lord-of-the-rings,Lord of the Rings,5.10c,Sport,25 ft,201172192
apostrophe,Apostrophe,5.9,"Trad, TR",45 ft,200412098
the-stairs,The Stairs,5.4,Trad,75 ft,105790307
beautiful,Beautiful,5.5,Trad,80 ft,105790307
art-of-the-pissant,Art of the Pissant,5.10a,Sport,30 ft,201172192
risky-business,Risky Business,5.10a,"Trad, Sport",25 ft,201172212
crack-of-dust,Crack of Dust,5.8,Trad,30 ft,105790295
big-kahuna,Big Kahuna,5.11a,Sport,40 ft,201172223
the-rift,The Rift,5.9,Trad,40 ft,200412107
orange-sunshine,Orange Sunshine,5.10d,Sport,40 ft,201172212
joes-v-slot,Joe's V Slot,5.9,Trad,35 ft,105853257
judgement-day,Judgement Day,5.10b,Trad,35 ft,105853257
too-hot-to-handle,Too Hot to Handle,5.7,Trad,35 ft,105853257
gallwas-crack,Gallwas Crack,5.9+,Trad,70 ft,105790295
nutcracker,Nutcracker,5.9+,Trad,70 ft,105790295
vawters-dihedral,Vawter's Dihedral,5.10a,Trad,40 ft,200412107
craigs-crack,Craig's Crack,5.8,Trad,35 ft,200412065
never-intended,Never Intended,5.10c,Sport,50 ft,105790295
fingerrip,Fingerrip,5.9+,Trad,35 ft,105790295
mission-control,Mission Control,5.8,Sport,70 ft,105790307
mission-gorge-traverse,Mission Gorge Traverse,5.8,Trad,100 ft,105790295
mickey-finn,Mickey Finn,5.10b,Sport,30 ft,105790295
cornered,Cornered,5.10d,TR,35 ft,105790295
lunch-rock-slab,Lunch Rock Slab,5.10a,TR,35 ft,105790307
lunch-rock-right-crack,Lunch Rock Right Crack,5.8,TR,35 ft,105790307
middle-finger,Middle Finger,5.10c,TR,30 ft,201172980
rectum-roof,Rectum Roof,5.10c,Trad,75 ft,105790295
your-lead,Your Lead,5.9,Sport,40 ft,105790307
